               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12115,            0.052949,             0.10235,          0.00010523,            0.002907,          0.00011694,          3.5082e-05,             0.11477,            0.042162,             0.10278,              0.0901,              0.0011,              0.0011
                   1,              0.1128,             0.05654,             0.10201,          0.00058995,            0.014535,          0.00045613,          5.6261e-05,             0.10506,            0.047301,              0.1012,            0.079254,           0.0022545,           0.0022545
                   2,             0.10195,             0.06467,             0.09855,            0.001417,            0.048819,           0.0031875,          0.00062817,            0.095528,            0.050572,            0.097525,            0.068361,           0.0033614,           0.0033614
                   3,            0.093572,            0.065404,            0.096098,           0.0036318,             0.13797,           0.0078065,           0.0036213,            0.086908,            0.048471,            0.093832,            0.057421,           0.0044208,           0.0044208
                   4,            0.088445,            0.066744,            0.093897,           0.0042271,             0.06746,            0.017501,           0.0071432,            0.087464,            0.045354,            0.092589,            0.046433,           0.0054327,           0.0054327
                   5,            0.089753,            0.055125,            0.092016,             0.35816,            0.038193,            0.028709,             0.00797,            0.089862,            0.046922,            0.091378,            0.035397,           0.0063971,           0.0063971
                   6,            0.083829,            0.057117,            0.091322,             0.55451,             0.01698,            0.010382,           0.0046914,            0.083914,            0.050139,            0.089967,            0.024314,            0.007314,            0.007314
                   7,             0.08125,            0.052696,            0.090734,            0.028129,             0.13095,            0.052631,            0.015497,            0.088251,            0.041334,            0.088412,            0.013183,           0.0081833,           0.0081833
                   8,            0.077332,            0.054521,            0.088532,             0.83582,            0.026394,            0.039206,            0.008276,            0.078885,            0.040192,            0.085681,            0.008416,            0.008416,            0.008416
                   9,            0.077052,            0.049447,            0.087253,            0.028325,             0.21544,            0.064339,            0.018771,            0.085881,            0.035889,            0.084545,            0.008416,            0.008416,            0.008416
                  10,            0.079535,            0.049333,            0.086849,             0.87836,            0.065476,            0.076611,            0.018212,             0.07441,            0.037039,            0.082337,            0.008218,            0.008218,            0.008218
                  11,            0.069803,            0.047715,            0.085254,             0.92664,              0.0616,             0.09634,            0.034062,            0.068021,            0.038344,            0.081566,             0.00802,             0.00802,             0.00802
                  12,            0.063957,            0.053139,            0.083672,             0.88374,            0.075427,             0.10007,            0.040073,             0.07189,            0.039301,            0.079966,            0.007822,            0.007822,            0.007822
                  13,            0.071391,            0.054778,             0.08331,             0.81168,            0.079734,            0.088528,            0.025994,            0.065682,            0.037299,            0.079174,            0.007624,            0.007624,            0.007624
                  14,            0.062397,              0.0534,            0.081168,             0.85041,             0.10412,            0.089703,            0.035023,            0.065496,            0.035451,            0.078215,            0.007426,            0.007426,            0.007426
                  15,            0.062384,            0.048622,            0.080145,             0.86696,             0.15928,             0.15868,            0.068806,            0.058283,             0.03555,            0.077744,            0.007228,            0.007228,            0.007228
                  16,            0.057143,             0.05191,            0.079659,             0.80045,             0.17146,             0.13732,            0.041012,            0.062256,             0.03553,             0.07674,             0.00703,             0.00703,             0.00703
                  17,            0.062479,            0.052704,            0.077934,             0.80372,             0.17702,             0.16476,                0.07,            0.054116,            0.035644,            0.076457,            0.006832,            0.006832,            0.006832
                  18,            0.053716,            0.049622,            0.076846,             0.84063,             0.17979,             0.14706,            0.050405,            0.057366,            0.036268,            0.075714,            0.006634,            0.006634,            0.006634
                  19,            0.056948,            0.050383,            0.077985,             0.85513,             0.17127,             0.16512,            0.078792,            0.049351,            0.035724,            0.075277,            0.006436,            0.006436,            0.006436
                  20,            0.056203,            0.053874,            0.075913,             0.84907,             0.18605,             0.15986,            0.080201,            0.045723,            0.034152,             0.07461,            0.006238,            0.006238,            0.006238
                  21,            0.050637,            0.042632,            0.078587,             0.83504,             0.18508,             0.12861,            0.053324,            0.052155,            0.033186,            0.074312,             0.00604,             0.00604,             0.00604
                  22,            0.049713,             0.04733,            0.074158,             0.82256,             0.16722,             0.10976,            0.057628,            0.059106,            0.032871,            0.073572,            0.005842,            0.005842,            0.005842
                  23,            0.053629,            0.039219,            0.073032,             0.84713,             0.18605,             0.15709,            0.080347,            0.041035,            0.032987,             0.07344,            0.005644,            0.005644,            0.005644
                  24,            0.045602,            0.048146,            0.076848,             0.81922,             0.15571,             0.17703,            0.076727,            0.051981,            0.034482,             0.07311,            0.005446,            0.005446,            0.005446
                  25,            0.051932,            0.048309,            0.074558,             0.81307,             0.18209,             0.18842,            0.097501,            0.040905,            0.033377,            0.072824,            0.005248,            0.005248,            0.005248
                  26,            0.044288,            0.044749,            0.072568,             0.78688,             0.19188,             0.17261,            0.084609,            0.045507,            0.032215,            0.072406,             0.00505,             0.00505,             0.00505
                  27,            0.046476,            0.050033,            0.071357,             0.80581,             0.17898,             0.18938,             0.10447,               0.038,            0.032238,            0.072338,            0.004852,            0.004852,            0.004852
                  28,            0.040689,            0.045698,            0.070229,             0.80818,             0.20333,             0.18137,            0.098105,            0.040768,            0.032204,            0.071974,            0.004654,            0.004654,            0.004654
                  29,            0.042493,            0.041642,            0.073978,             0.80748,             0.20169,              0.1776,             0.10533,            0.039713,            0.031413,            0.071605,            0.004456,            0.004456,            0.004456
                  30,            0.041178,            0.040037,             0.07238,             0.80001,              0.2046,             0.19942,            0.084763,            0.043267,            0.030401,            0.071132,            0.004258,            0.004258,            0.004258
                  31,            0.041312,            0.042413,            0.071932,             0.80517,             0.21387,             0.20829,             0.13582,            0.033557,            0.030518,            0.070992,             0.00406,             0.00406,             0.00406
                  32,             0.03929,            0.043586,            0.073138,             0.80068,             0.21816,             0.20509,             0.11041,            0.037355,            0.030628,            0.070732,            0.003862,            0.003862,            0.003862
                  33,            0.041723,            0.042659,            0.070393,             0.81065,              0.1757,             0.21628,             0.12829,            0.036192,            0.030397,            0.070534,            0.003664,            0.003664,            0.003664
                  34,            0.039226,            0.042532,            0.070631,             0.80312,             0.19898,             0.22007,             0.11845,             0.03824,            0.030284,            0.070266,            0.003466,            0.003466,            0.003466
                  35,            0.038135,            0.038993,            0.071337,              0.8043,              0.1912,              0.2393,             0.15424,            0.032705,            0.029882,            0.070232,            0.003268,            0.003268,            0.003268
                  36,            0.037032,               0.043,            0.072174,             0.80091,             0.20183,             0.25347,             0.15567,             0.03449,            0.030152,            0.069992,             0.00307,             0.00307,             0.00307
                  37,            0.037814,            0.040901,            0.071007,             0.80338,             0.20453,             0.24904,             0.14736,            0.033195,            0.030305,            0.069776,            0.002872,            0.002872,            0.002872
